Price,year,month,Production,oilPrice
65.62,2001,1,12300.0,24.45572
61.87,2001,2,12300.0,24.45572
55.94,2001,3,12300.0,24.45572
52.87,2001,4,12300.0,24.45572
51.61,2001,5,12300.0,24.45572
49.36,2001,6,12300.0,24.45572
47.14,2001,7,12300.0,24.45572
45.24,2001,8,12300.0,24.45572
43.36,2001,9,12300.0,24.45572
39.38,2001,10,12300.0,24.45572
40.32,2001,11,12300.0,24.45572
45.52,2001,12,12300.0,24.45572
46.4,2002,1,10600.0,24.993255
45.77,2002,2,10600.0,24.993255
45.33,2002,3,10600.0,24.993255
44.52,2002,4,10600.0,24.993255
43.12,2002,5,10600.0,24.993255
47.0,2002,6,10600.0,24.993255
50.23,2002,7,10600.0,24.993255
52.96,2002,8,10600.0,24.993255
52.32,2002,9,10600.0,24.993255
52.72,2002,10,10600.0,24.993255
55.49,2002,11,10600.0,24.993255
58.73,2002,12,10600.0,24.993255
59.91,2003,1,14000.0,28.850814
61.58,2003,2,14000.0,28.850814
64.32,2003,3,14000.0,28.850814
63.49,2003,4,14000.0,28.850814
60.27,2003,5,14000.0,28.850814
60.27,2003,6,14000.0,28.850814
61.49,2003,7,14000.0,28.850814
61.09,2003,8,14000.0,28.850814
64.65,2003,9,14000.0,28.850814
72.62,2003,10,14000.0,28.850814
77.38,2003,11,14000.0,28.850814
73.86,2003,12,14000.0,28.850814
75.9,2004,1,19000.0,38.259693
73.79,2004,2,19000.0,38.259693
71.57,2004,3,19000.0,38.259693
67.22,2004,4,19000.0,38.259693
69.67,2004,5,19000.0,38.259693
64.63,2004,6,19000.0,38.259693
58.01,2004,7,19000.0,38.259693
55.15,2004,8,19000.0,38.259693
57.16,2004,9,19000.0,38.259693
53.11,2004,10,19000.0,38.259693
48.72,2004,11,19000.0,38.259693
47.06,2004,12,19000.0,38.259693
49.45,2005,1,19050.0,54.574553
50.67,2005,2,19050.0,54.574553
54.18,2005,3,19050.0,54.574553
55.11,2005,4,19050.0,54.574553
53.49,2005,5,19050.0,54.574553
51.87,2005,6,19050.0,54.574553
52.68,2005,7,19050.0,54.574553
51.91,2005,8,19050.0,54.574553
53.14,2005,9,19050.0,54.574553
57.37,2005,10,19050.0,54.574553
57.16,2005,11,19050.0,54.574553
57.07,2005,12,19050.0,54.574553
57.27,2006,1,22200.0,65.161765
58.52,2006,2,22200.0,65.161765
56.48,2006,3,22200.0,65.161765
55.74,2006,4,22200.0,65.161765
54.49,2006,5,22200.0,65.161765
56.19,2006,6,22200.0,65.161765
56.68,2006,7,22200.0,65.161765
61.43,2006,8,22200.0,65.161765
59.96,2006,9,22200.0,65.161765
57.29,2006,10,22200.0,65.161765
56.97,2006,11,22200.0,65.161765
58.47,2006,12,22200.0,65.161765
57.64,2007,1,24200.0,72.44116
56.53,2007,2,24200.0,72.44116
56.79,2007,3,24200.0,72.44116
53.11,2007,4,24200.0,72.44116
49.77,2007,5,24200.0,72.44116
54.62,2007,6,24200.0,72.44116
60.62,2007,7,24200.0,72.44116
60.0,2007,8,24200.0,72.44116
60.51,2007,9,24200.0,72.44116
60.06,2007,10,24200.0,72.44116
60.74,2007,11,24200.0,72.44116
60.34,2007,12,24200.0,72.44116
63.39,2008,1,23000.0,96.944348
65.55,2008,2,23000.0,96.944348
71.43,2008,3,23000.0,96.944348
66.45,2008,4,23000.0,96.944348
68.66,2008,5,23000.0,96.944348
72.79,2008,6,23000.0,96.944348
72.82,2008,7,23000.0,96.944348
73.85,2008,8,23000.0,96.944348
73.81,2008,9,23000.0,96.944348
66.64,2008,10,23000.0,96.944348
59.29,2008,11,23000.0,96.944348
59.34,2008,12,23000.0,96.944348
62.03,2009,1,24200.0,61.73877
60.05,2009,2,24200.0,61.73877
58.45,2009,3,24200.0,61.73877
62.59,2009,4,24200.0,61.73877
66.49,2009,5,24200.0,61.73877
64.49,2009,6,24200.0,61.73877
69.37,2009,7,24200.0,61.73877
68.61,2009,8,24200.0,61.73877
68.3,2009,9,24200.0,61.73877
68.68,2009,10,24200.0,61.73877
73.58,2009,11,24200.0,61.73877
78.34,2009,12,24200.0,61.73877
78.53,2010,1,26900.0,79.609444
81.53,2010,2,26900.0,79.609444
85.99,2010,3,26900.0,79.609444
86.33,2010,4,26900.0,79.609444
91.08,2010,5,26900.0,79.609444
95.46,2010,6,26900.0,79.609444
87.18,2010,7,26900.0,79.609444
92.67,2010,8,26900.0,79.609444
106.35,2010,9,26900.0,79.609444
123.92,2010,10,26900.0,79.609444
153.03,2010,11,26900.0,79.609444
167.13,2010,12,26900.0,79.609444
178.81,2011,1,28700.0,111.264274
213.64,2011,2,28700.0,111.264274
227.65,2011,3,28700.0,111.264274
212.16,2011,4,28700.0,111.264274
163.87,2011,5,28700.0,111.264274
142.63,2011,6,28700.0,111.264274
119.48,2011,7,28700.0,111.264274
114.1,2011,8,28700.0,111.264274
123.14,2011,9,28700.0,111.264274
120.15,2011,10,28700.0,111.264274
117.1,2011,11,28700.0,111.264274
110.55,2011,12,28700.0,111.264274
114.24,2012,1,28500.0,111.570683
109.14,2012,2,28500.0,111.570683
110.21,2012,3,28500.0,111.570683
113.97,2012,4,28500.0,111.570683
105.96,2012,5,28500.0,111.570683
101.41,2012,6,28500.0,111.570683
102.72,2012,7,28500.0,111.570683
103.34,2012,8,28500.0,111.570683
101.48,2012,9,28500.0,111.570683
95.85,2012,10,28500.0,111.570683
97.4,2012,11,28500.0,111.570683
100.49,2012,12,28500.0,111.570683
102.65,2013,1,31000.0,108.555
106.41,2013,2,31000.0,108.555
113.13,2013,3,31000.0,108.555
110.38,2013,4,31000.0,108.555
112.27,2013,5,31000.0,108.555
119.57,2013,6,31000.0,108.555
121.95,2013,7,31000.0,108.555
128.95,2013,8,31000.0,108.555
126.74,2013,9,31000.0,108.555
121.41,2013,10,31000.0,108.555
117.27,2013,11,31000.0,108.555
119.56,2013,12,31000.0,108.555
124.89,2014,1,29500.0,98.969606
128.93,2014,2,29500.0,98.969606
130.47,2014,3,29500.0,98.969606
125.54,2014,4,29500.0,98.969606
121.06,2014,5,29500.0,98.969606
119.43,2014,6,29500.0,98.969606
111.12,2014,7,29500.0,98.969606
99.26,2014,8,29500.0,98.969606
98.63,2014,9,29500.0,98.969606
95.09,2014,10,29500.0,98.969606
91.9,2014,11,29500.0,98.969606
94.69,2014,12,29500.0,98.969606
91.96,2015,1,25900.0,52.316549
95.52,2015,2,25900.0,52.316549
95.55,2015,3,25900.0,52.316549
99.19,2015,4,25900.0,52.316549
102.73,2015,5,25900.0,52.316549
102.18,2015,6,25900.0,52.316549
101.83,2015,7,25900.0,52.316549
102.81,2015,8,25900.0,52.316549
100.65,2015,9,25900.0,52.316549
98.91,2015,10,25900.0,52.316549
101.06,2015,11,25900.0,52.316549
103.22,2015,12,25900.0,52.316549
102.29,2016,1,27000.0,43.638
100.32,2016,2,27000.0,43.638
96.56,2016,3,27000.0,43.638
101.7,2016,4,27000.0,43.638
103.67,2016,5,27000.0,43.638
109.67,2016,6,27000.0,43.638
120.32,2016,7,27000.0,43.638
118.48,2016,8,27000.0,43.638
114.8,2016,9,27000.0,43.638
115.49,2016,10,27000.0,43.638
117.5,2016,11,27000.0,43.638
118.82,2016,12,27000.0,43.638
123.96,2017,1,29000.0,54.124805
126.15,2017,2,29000.0,54.124805
125.9,2017,3,29000.0,54.124805
123.87,2017,4,29000.0,54.124805
125.62,2017,5,29000.0,54.124805
120.5,2017,6,29000.0,54.124805
119.21,2017,7,29000.0,54.124805
111.94,2017,8,29000.0,54.124805
114.74,2017,9,29000.0,54.124805
112.6,2017,10,29000.0,54.124805
114.82,2017,11,29000.0,54.124805
120.78,2017,12,29000.0,54.124805
127.93,2018,1,25800.0,71.335
125.53,2018,2,25800.0,71.335
131.97,2018,3,25800.0,71.335
133.3,2018,4,25800.0,71.335
140.49,2018,5,25800.0,71.335
145.76,2018,6,25800.0,71.335
145.65,2018,7,25800.0,71.335
144.63,2018,8,25800.0,71.335
143.88,2018,9,25800.0,71.335
140.61,2018,10,25800.0,71.335
137.18,2018,11,25800.0,71.335
134.58,2018,12,25800.0,71.335
128.77,2019,1,30500.0,64.319845
127.46,2019,2,30500.0,64.319845
128.54,2019,3,30500.0,64.319845
133.3,2019,4,30500.0,64.319845
123.53,2019,5,30500.0,64.319845
118.74,2019,6,30500.0,64.319845
114.91,2019,7,30500.0,64.319845
110.99,2019,8,30500.0,64.319845
111.99,2019,9,30500.0,64.319845
115.81,2019,10,30500.0,64.319845
117.86,2019,11,30500.0,64.319845
118.88,2019,12,30500.0,64.319845
124.11,2020,1,26450.45876,45.544615
120.75,2020,2,26450.45876,45.544615
110.73,2020,3,26450.45876,45.544615
106.66,2020,4,26450.45876,45.544615
109.71,2020,5,26450.45876,45.544615
112.81,2020,6,26450.45876,45.544615
